name	album_name	release_date	popularity	duration	danceability
Lavender Haze	Midnights (3am Edition)	2022-10-22	88	202395	0.735
Maroon	Midnights (3am Edition)	2022-10-22	88	218270	0.658
Anti-Hero	Midnights (3am Edition)	2022-10-22	89	200690	0.638
Snow On The Beach (feat. Lana Del Rey)	Midnights (3am Edition)	2022-10-22	87	256124	0.659
You're On Your Own, Kid	Midnights (3am Edition)	2022-10-22	88	194206	0.694
Midnight Rain	Midnights (3am Edition)	2022-10-22	88	174782	0.636
Question...?	Midnights (3am Edition)	2022-10-22	87	210556	0.751
Vigilante Shit	Midnights (3am Edition)	2022-10-22	86	164801	0.87
Bejeweled	Midnights (3am Edition)	2022-10-22	87	194165	0.7
Labyrinth	Midnights (3am Edition)	2022-10-22	85	247962	0.487
Karma	Midnights (3am Edition)	2022-10-22	87	204852	0.649
Sweet Nothing	Midnights (3am Edition)	2022-10-22	85	188496	0.334
Mastermind	Midnights (3am Edition)	2022-10-22	86	191039	0.661
The Great War	Midnights (3am Edition)	2022-10-22	87	240355	0.573
Bigger Than The Whole Sky	Midnights (3am Edition)	2022-10-22	87	218502	0.422
Paris	Midnights (3am Edition)	2022-10-22	86	196258	0.7
High Infidelity	Midnights (3am Edition)	2022-10-22	85	231475	0.646
Glitch	Midnights (3am Edition)	2022-10-22	85	148781	0.675
Would've, Could've, Should've	Midnights (3am Edition)	2022-10-22	88	260361	0.483
Dear Reader	Midnights (3am Edition)	2022-10-22	84	225194	0.562
State Of Grace (Taylor's Version)	Red (Taylor's Version)	2021-11-12	69	295413	0.594
Red (Taylor's Version)	Red (Taylor's Version)	2021-11-12	76	223093	0.516
Treacherous (Taylor's Version)	Red (Taylor's Version)	2021-11-12	69	242720	0.645
I Knew You Were Trouble (Taylor's Version)	Red (Taylor's Version)	2021-11-12	73	219760	0.584
All Too Well (Taylor's Version)	Red (Taylor's Version)	2021-11-12	74	329160	0.44
22 (Taylor's Version)	Red (Taylor's Version)	2021-11-12	71	230960	0.642
I Almost Do (Taylor's Version)	Red (Taylor's Version)	2021-11-12	67	244586	0.511
We Are Never Ever Getting Back Together (Taylor's Version)	Red (Taylor's Version)	2021-11-12	74	193146	0.567
Stay Stay Stay (Taylor's Version)	Red (Taylor's Version)	2021-11-12	67	205786	0.693
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)	Red (Taylor's Version)	2021-11-12	68	299080	0.502
Holy Ground (Taylor's Version)	Red (Taylor's Version)	2021-11-12	66	202960	0.622
Sad Beautiful Tragic (Taylor's Version)	Red (Taylor's Version)	2021-11-12	68	284773	0.601
The Lucky One (Taylor's Version)	Red (Taylor's Version)	2021-11-12	66	240466	0.686
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)	Red (Taylor's Version)	2021-11-12	71	245426	0.498
Starlight (Taylor's Version)	Red (Taylor's Version)	2021-11-12	65	220413	0.628
Begin Again (Taylor's Version)	Red (Taylor's Version)	2021-11-12	68	238866	0.519
The Moment I Knew (Taylor's Version)	Red (Taylor's Version)	2021-11-12	65	285280	0.636
Come Back...Be Here (Taylor's Version)	Red (Taylor's Version)	2021-11-12	69	223333	0.46
Girl At Home (Taylor's Version)	Red (Taylor's Version)	2021-11-12	63	220520	0.691
State Of Grace (Acoustic Version) (Taylor's Version)	Red (Taylor's Version)	2021-11-12	63	321640	0.445
Ronan (Taylor's Version)	Red (Taylor's Version)	2021-11-12	61	264253	0.623
Better Man (Taylor's Version) (From The Vault)	Red (Taylor's Version)	2021-11-12	69	297013	0.473
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)	Red (Taylor's Version)	2021-11-12	75	258812	0.606
Babe (Taylor's Version) (From The Vault)	Red (Taylor's Version)	2021-11-12	70	224240	0.584
Message In A Bottle (Taylor's Version) (From The Vault)	Red (Taylor's Version)	2021-11-12	74	225960	0.622
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)	Red (Taylor's Version)	2021-11-12	74	285106	0.391
Forever Winter (Taylor's Version) (From The Vault)	Red (Taylor's Version)	2021-11-12	65	263533	0.611
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)	Red (Taylor's Version)	2021-11-12	71	240226	0.61
The Very First Night (Taylor's Version) (From The Vault)	Red (Taylor's Version)	2021-11-12	72	200280	0.678
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)	Red (Taylor's Version)	2021-11-12	83	613026	0.631
