song	artist	rank	date
Tim McGraw	Taylor Swift	86	2006-09-23
Tim McGraw	Taylor Swift	87	2006-09-30
Tim McGraw	Taylor Swift	77	2006-10-07
Tim McGraw	Taylor Swift	72	2006-10-14
Tim McGraw	Taylor Swift	68	2006-10-21
Tim McGraw	Taylor Swift	65	2006-10-28
Tim McGraw	Taylor Swift	61	2006-11-04
Tim McGraw	Taylor Swift	51	2006-11-11
Tim McGraw	Taylor Swift	51	2006-11-18
Tim McGraw	Taylor Swift	47	2006-11-25
Tim McGraw	Taylor Swift	48	2006-12-02
Tim McGraw	Taylor Swift	45	2006-12-09
Tim McGraw	Taylor Swift	44	2006-12-16
Tim McGraw	Taylor Swift	46	2006-12-23
Tim McGraw	Taylor Swift	45	2006-12-30
Tim McGraw	Taylor Swift	48	2007-01-06
Tim McGraw	Taylor Swift	40	2007-01-13
Tim McGraw	Taylor Swift	43	2007-01-20
Tim McGraw	Taylor Swift	40	2007-01-27
Tim McGraw	Taylor Swift	43	2007-02-03
Teardrops On My Guitar	Taylor Swift	93	2007-03-24
Teardrops On My Guitar	Taylor Swift	77	2007-03-31
Teardrops On My Guitar	Taylor Swift	78	2007-04-07
Teardrops On My Guitar	Taylor Swift	70	2007-04-14
Teardrops On My Guitar	Taylor Swift	60	2007-04-21
Teardrops On My Guitar	Taylor Swift	52	2007-04-28
Teardrops On My Guitar	Taylor Swift	56	2007-05-05
Teardrops On My Guitar	Taylor Swift	53	2007-05-12
Teardrops On My Guitar	Taylor Swift	50	2007-05-19
Teardrops On My Guitar	Taylor Swift	51	2007-05-26
Teardrops On My Guitar	Taylor Swift	44	2007-06-02
Teardrops On My Guitar	Taylor Swift	46	2007-06-09
Teardrops On My Guitar	Taylor Swift	49	2007-06-16
Teardrops On My Guitar	Taylor Swift	42	2007-06-23
Teardrops On My Guitar	Taylor Swift	42	2007-06-30
Teardrops On My Guitar	Taylor Swift	45	2007-07-07
Teardrops On My Guitar	Taylor Swift	42	2007-07-14
Teardrops On My Guitar	Taylor Swift	41	2007-07-21
Teardrops On My Guitar	Taylor Swift	40	2007-07-28
Teardrops On My Guitar	Taylor Swift	39	2007-08-04
Teardrops On My Guitar	Taylor Swift	33	2007-08-11
Teardrops On My Guitar	Taylor Swift	34	2007-08-18
Teardrops On My Guitar	Taylor Swift	38	2007-08-25
Teardrops On My Guitar	Taylor Swift	49	2007-09-01
Teardrops On My Guitar	Taylor Swift	50	2007-09-08
Our Song	Taylor Swift	86	2007-10-13
Our Song	Taylor Swift	67	2007-10-20
Our Song	Taylor Swift	56	2007-10-27
Our Song	Taylor Swift	46	2007-11-03
Our Song	Taylor Swift	39	2007-11-10
Our Song	Taylor Swift	36	2007-11-17
Our Song	Taylor Swift	24	2007-11-24
Our Song	Taylor Swift	28	2007-12-01
Our Song	Taylor Swift	23	2007-12-08
Our Song	Taylor Swift	24	2007-12-15
Teardrops On My Guitar	Taylor Swift	44	2007-12-15
Our Song	Taylor Swift	22	2007-12-22
Teardrops On My Guitar	Taylor Swift	30	2007-12-22
Our Song	Taylor Swift	21	2007-12-29
Teardrops On My Guitar	Taylor Swift	24	2007-12-29
Teardrops On My Guitar	Taylor Swift	23	2008-01-05
Our Song	Taylor Swift	26	2008-01-05
Our Song	Taylor Swift	17	2008-01-12
Teardrops On My Guitar	Taylor Swift	19	2008-01-12
Our Song	Taylor Swift	16	2008-01-19
Teardrops On My Guitar	Taylor Swift	18	2008-01-19
Teardrops On My Guitar	Taylor Swift	17	2008-01-26
Our Song	Taylor Swift	20	2008-01-26
Teardrops On My Guitar	Taylor Swift	14	2008-02-02
Our Song	Taylor Swift	16	2008-02-02
Teardrops On My Guitar	Taylor Swift	15	2008-02-09
Our Song	Taylor Swift	24	2008-02-09
Teardrops On My Guitar	Taylor Swift	15	2008-02-16
Our Song	Taylor Swift	31	2008-02-16
Teardrops On My Guitar	Taylor Swift	15	2008-02-23
Our Song	Taylor Swift	29	2008-02-23
Teardrops On My Guitar	Taylor Swift	13	2008-03-01
Our Song	Taylor Swift	30	2008-03-01
Picture To Burn	Taylor Swift	91	2008-03-01
Teardrops On My Guitar	Taylor Swift	16	2008-03-08
Our Song	Taylor Swift	35	2008-03-08
Picture To Burn	Taylor Swift	83	2008-03-08
Teardrops On My Guitar	Taylor Swift	22	2008-03-15
Our Song	Taylor Swift	39	2008-03-15
Picture To Burn	Taylor Swift	73	2008-03-15
Teardrops On My Guitar	Taylor Swift	20	2008-03-22
Our Song	Taylor Swift	39	2008-03-22
Picture To Burn	Taylor Swift	64	2008-03-22
Teardrops On My Guitar	Taylor Swift	22	2008-03-29
Our Song	Taylor Swift	39	2008-03-29
Picture To Burn	Taylor Swift	55	2008-03-29
Teardrops On My Guitar	Taylor Swift	22	2008-04-05
Our Song	Taylor Swift	39	2008-04-05
Picture To Burn	Taylor Swift	51	2008-04-05
Teardrops On My Guitar	Taylor Swift	26	2008-04-12
Our Song	Taylor Swift	33	2008-04-12
Picture To Burn	Taylor Swift	45	2008-04-12
Teardrops On My Guitar	Taylor Swift	26	2008-04-19
Our Song	Taylor Swift	28	2008-04-19
Picture To Burn	Taylor Swift	44	2008-04-19
Our Song	Taylor Swift	28	2008-04-26
Teardrops On My Guitar	Taylor Swift	29	2008-04-26
Picture To Burn	Taylor Swift	36	2008-04-26
Our Song	Taylor Swift	28	2008-05-03
Picture To Burn	Taylor Swift	29	2008-05-03
Teardrops On My Guitar	Taylor Swift	38	2008-05-03
Picture To Burn	Taylor Swift	29	2008-05-10
Our Song	Taylor Swift	31	2008-05-10
Teardrops On My Guitar	Taylor Swift	48	2008-05-10
Picture To Burn	Taylor Swift	28	2008-05-17
Our Song	Taylor Swift	29	2008-05-17
Teardrops On My Guitar	Taylor Swift	49	2008-05-17
Our Song	Taylor Swift	34	2008-05-24
Picture To Burn	Taylor Swift	36	2008-05-24
Our Song	Taylor Swift	39	2008-05-31
Picture To Burn	Taylor Swift	52	2008-05-31
Our Song	Taylor Swift	48	2008-06-07
Picture To Burn	Taylor Swift	71	2008-06-07
Should've Said No	Taylor Swift	84	2008-06-07
Our Song	Taylor Swift	48	2008-06-14
Picture To Burn	Taylor Swift	67	2008-06-14
Should've Said No	Taylor Swift	84	2008-06-14
Picture To Burn	Taylor Swift	74	2008-06-21
Should've Said No	Taylor Swift	75	2008-06-21
Should've Said No	Taylor Swift	65	2008-06-28
Picture To Burn	Taylor Swift	80	2008-06-28
Should've Said No	Taylor Swift	64	2008-07-05
Picture To Burn	Taylor Swift	82	2008-07-05
Should've Said No	Taylor Swift	55	2008-07-12
Picture To Burn	Taylor Swift	89	2008-07-12
Should've Said No	Taylor Swift	46	2008-07-19
Should've Said No	Taylor Swift	38	2008-07-26
Should've Said No	Taylor Swift	34	2008-08-02
Should've Said No	Taylor Swift	33	2008-08-09
Should've Said No	Taylor Swift	38	2008-08-16
Should've Said No	Taylor Swift	37	2008-08-23
Change	Taylor Swift	10	2008-08-30
Should've Said No	Taylor Swift	35	2008-08-30
Change	Taylor Swift	39	2008-09-06
Should've Said No	Taylor Swift	40	2008-09-06
Should've Said No	Taylor Swift	51	2008-09-13
Change	Taylor Swift	100	2008-09-13
Should've Said No	Taylor Swift	61	2008-09-20
Love Story	Taylor Swift	16	2008-09-27
Should've Said No	Taylor Swift	66	2008-09-27
Love Story	Taylor Swift	5	2008-10-04
Should've Said No	Taylor Swift	83	2008-10-04
Love Story	Taylor Swift	9	2008-10-11
Should've Said No	Taylor Swift	82	2008-10-11
Love Story	Taylor Swift	13	2008-10-18
Should've Said No	Taylor Swift	90	2008-10-18
Love Story	Taylor Swift	14	2008-10-25
Fearless	Taylor Swift	9	2008-11-01
Love Story	Taylor Swift	14	2008-11-01
Love Story	Taylor Swift	15	2008-11-08
Fearless	Taylor Swift	38	2008-11-08
You're Not Sorry	Taylor Swift	11	2008-11-15
Love Story	Taylor Swift	16	2008-11-15
Fearless	Taylor Swift	79	2008-11-15
You Belong With Me	Taylor Swift	12	2008-11-22
Love Story	Taylor Swift	14	2008-11-22
You're Not Sorry	Taylor Swift	35	2008-11-22
Fearless	Taylor Swift	98	2008-11-22
White Horse	Taylor Swift	13	2008-11-29
Love Story	Taylor Swift	18	2008-11-29
Forever & Always	Taylor Swift	49	2008-11-29
The Way I Loved You	Taylor Swift	72	2008-11-29
Fifteen	Taylor Swift	79	2008-11-29
Breathe	Taylor Swift Featuring Colbie Caillat	87	2008-11-29
Hey Stephen	Taylor Swift	94	2008-11-29
